year,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130
2023,18.8,18.2,15.4,16.4,18.2,17.3,17.1,19.9,19.8,19.7,20.4,21.3,21.9,22.5,14.8,11.6,14.3,13.6,16.9,16.1,17.8,17.9,17.7,10.6,10.7,14.8,11.2,9.3,12.4,13.4,15.9,16.5,16.6,17.6,18.0,18.0,17.4,18.8,20.1,18.0,17.7,19.1,19.7,19.5,12.3,11.5,15.6,17.9,19.4,16.0,14.7,13.8,16.1,17.8,16.2,13.0,12.4,16.9,19.0,17.2,15.6,16.1,15.7,15.9,17.0,19.3,18.3,18.2,19.9,21.7,19.4,13.3,17.6,19.2,21.0,20.3,18.2,20.2,21.3,22.9,25.2,23.4,21.1,19.5,16.1,16.5,17.7,19.8,18.5,18.0,18.0,20.2,22.0,23.6,22.8,22.6,17.0,16.9,19.3,21.9,22.8,22.6,24.4,24.3,21.2,23.3,24.3,25.5,24.6,22.1,20.3,19.9,21.5,20.4,19.5,18.1,21.3,24.1,25.1,19.5,21.8,25.5,26.7,26.8,27.6,27.6,22.7,19.2,19.4,21.8,23.1,23.5,21.5,22.1,23.5,25.7,26.9,28.5,23.3,24.1,26.4,27.4,20.5,22.7,24.8,27.1,27.2,28.0,29.1,27.5,25.4,26.0,28.2,27.9,26.7,27.8,28.4,27.9,28.9,26.6,25.4,25.6,25.4,26.7,26.3,25.1,25.7,26.2,28.6,28.4,29.6,29.8,29.1,26.7,27.0,28.6,28.8,28.7,28.7,28.5,27.5,28.0,27.5,28.7,29.7,30.4,30.4,30.5,30.6,30.3,30.0,27.7,28.5,29.2,29.9,30.8,30.2,29.1,27.8,27.9,27.8,28.3,28.0,27.6,29.1,30.1,27.3,29.0,27.8,28.2,27.3,27.4,26.2,28.0,28.6,30.9,29.3,30.5,30.3,30.0,30.2,27.5,26.6,27.5,28.3,29.6,29.7,26.6,26.2,26.4,27.5,26.6,27.5,27.6,27.3,28.0,28.8,29.1,27.7,28.5,29.6,29.6,28.3,28.2,27.4,26.7,27.6,27.8,26.1,25.9,25.4,25.5,25.8,26.2,27.1,26.9,27.2,27.1,27.7,28.0,27.0,27.8,27.8,27.6,29.0,29.1,29.4,29.1,28.4,27.7,28.7,28.2,28.3,27.3,24.9,23.9,25.7,26.5,27.1,26.4,24.7,24.6,23.5,22.9,24.0,23.6,23.0,22.9,23.3,24.5,26.4,26.4,23.5,21.0,23.0,25.3,25.3,24.9,24.5,22.9,21.0,21.8,23.2,23.3,24.2,25.2,24.1,25.3,25.2,24.6,22.7,24.8,25.6,23.7,21.7,20.0,17.0,18.8,20.4,19.7,15.2,14.9,17.4,19.7,21.7,21.2,20.4,19.3,19.6,19.1,20.1,21.0,22.7,19.3
